"Stand ID, Stand name",Latitude,Longitude,passengers this month,year - month
53,Ribeira,41.1412082,-8.614012261,6809,2013-07
8,Azevedo,41.1515921,-8.568195397,1664,2013-07
34,Infante,41.14051688,-8.615952191,3267,2013-07
18,Carregal,41.14832091,-8.619603476,4290,2013-07
25,Cordoaria,41.14629987,-8.617638088,3234,2013-07
52,Républica,41.1549651,-8.613216988,2063,2013-07
15,Campanhã,41.14862751,-8.585876603,9298,2013-07
62,Viso,41.17787376,-8.646557505,524,2013-07
12,Bom Sucesso,41.15511973,-8.630466266,3044,2013-07
21,Casa da Musica,41.16088635,-8.629565069,1947,2013-07
3,Aldoar,41.17052492,-8.665875932,1020,2013-07
7,Av. Boavista,41.15998019,-8.641983925,2922,2013-07
39,Maternidade,41.15089146,-8.622799998,1151,2013-07
9,Batalha,41.14425253,-8.605719616,5915,2013-07
14,Câmara,41.14970219,-8.61107087,3621,2013-07
61,Vinte e Quatro de Agosto,41.14931011,-8.600308525,3277,2013-07
13,Brasília,41.15708913,-8.62846798,2805,2013-07
40,Mercado da Foz,41.15423374,-8.674006779,3048,2013-07
48,Pinto de Azevedo,41.17126237,-8.645050154,210,2013-07
55,São Roque,41.16600077,-8.570351762,1677,2013-07
60,Trindade,41.1511237,-8.609843402,2079,2013-07
22,Castelo do Queijo,41.16831789,-8.68917996,1270,2013-07
23,Clérigos,41.14601583,-8.612574719,6271,2013-07
28,Dragão,41.16322243,-8.584046773,1931,2013-07
32,H. Militar,41.15766231,-8.627044152,1586,2013-07
58,Terço,41.16159159,-8.60452833,1840,2013-07
33,H. São João,41.18278721,-8.600122444,3773,2013-07
19,Carvalheiras,41.15359293,-8.605426467,1889,2013-07
51,Ramada Alta,41.16140385,-8.621121972,1739,2013-07
50,Prelada,41.16983831,-8.628902454,590,2013-07
31,H. Magalhães Lemos,41.17695352,-8.663960323,1368,2013-07
35,Lago,41.16743181,-8.649526818,2304,2013-07
43,Ouro,41.14861103,-8.648886435,1686,2013-07
59,Tenente Valadim,41.16070302,-8.641204749,1908,2013-07
37,Marechal,41.16108106,-8.657546759,2267,2013-07
63,Santa Maria,41.16037532,-8.609369722,1882,2013-07
38,Marquês,41.16071489,-8.604246082,1995,2013-07
16,Campismo,41.17547223,-8.627791451,1793,2013-07
24,Conde Ferreira,41.16953022,-8.589347897,2202,2013-07
10,Bolhão,41.15071065,-8.606909773,2320,2013-07
36,Lordelo,41.15465712,-8.649073578,4682,2013-07
57,São Bento,41.14571881,-8.610707015,6130,2013-07
42,Nove de Abril,41.17274857,-8.611783584,1807,2013-07
46,Pereira de Melo,41.17864516,-8.64853557,799,2013-07
47,Pereiró,41.17381357,-8.654496008,1237,2013-07
20,Carvalhido,41.16692782,-8.62677873,1457,2013-07
56,Sá Carneiro,41.1628787,-8.591645282,2273,2013-07
17,Carcereira,41.16445158,-8.632285955,961,2013-07
41,Nevogilde,41.16306665,-8.675983042,1029,2013-07
30,Galiza,41.15178364,-8.62775943,1551,2013-07
2,Alameda,41.15618964,-8.591064405,1032,2013-07
26,Corujeira,41.15956064,-8.579775948,1417,2013-07
6,Areosa,41.18080434,-8.582782891,3209,2013-07
45,Passeio Alegre,41.1486486,-8.672795329,1627,2013-07
5,Amial,41.18350972,-8.61272587,652,2013-07
27,D. João I,41.14803213,-8.609241127,3673,2013-07
1,Agra,41.17714571,-8.609670271,842,2013-07
29,Francos,41.1710191,-8.638665581,691,2013-07
4,Alfândega,41.14376399,-8.62180322,573,2013-07
54,Rotunda,41.15800388,-8.63037495,1313,2013-07
49,Pólo Universitário,41.17955109,-8.60253898,1399,2013-07
11,Bom Pastor,41.1670339,-8.613266862,1523,2013-07
44,Palácio,41.1496174,-8.625784437,882,2013-07
11,Bom Pastor,41.1670339,-8.613266862,1383,2013-08
53,Ribeira,41.1412082,-8.614012261,8112,2013-08
60,Trindade,41.1511237,-8.609843402,1782,2013-08
15,Campanhã,41.14862751,-8.585876603,8049,2013-08
9,Batalha,41.14425253,-8.605719616,5426,2013-08
10,Bolhão,41.15071065,-8.606909773,2027,2013-08
36,Lordelo,41.15465712,-8.649073578,4323,2013-08
24,Conde Ferreira,41.16953022,-8.589347897,1824,2013-08
13,Brasília,41.15708913,-8.62846798,2317,2013-08
25,Cordoaria,41.14629987,-8.617638088,2862,2013-08
57,São Bento,41.14571881,-8.610707015,5482,2013-08
